dt64,id,river_km_id,datetime,water_perc,ice_perc,other_perc,cloud_perc,nd_perc,qc,source
2017-03-08 10:25:13,15697,232808,2017-03-08T10:25:13,0,98,0,0,2,high quality,Sentinel-1 Sentinel-2
2017-03-10 17:33:21,15774,232808,2017-03-10T17:33:21,15,82,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-03-11 17:24:26,15851,232808,2017-03-11T17:24:26,16,82,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-03-12 17:16:54,15928,232808,2017-03-12T17:16:54,43,55,0,0,2,low quality,Sentinel-1
2017-03-13 17:08:01,15994,232808,2017-03-13T17:08:01,27,71,0,0,2,low quality,Sentinel-1
2017-03-16 05:34:57,16045,232808,2017-03-16T05:34:57,8,90,0,0,2,low quality,Sentinel-1
2017-03-17 05:26:20,16122,232808,2017-03-17T05:26:20,28,69,0,0,3,low quality,Sentinel-1
2017-03-18 17:16:11,16199,232808,2017-03-18T17:16:11,92,5,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-03-19 17:08:44,16266,232808,2017-03-19T17:08:44,92,6,0,0,2,low quality,Sentinel-1
2017-03-23 05:27:04,16318,232808,2017-03-23T05:27:04,88,9,0,0,3,low quality,Sentinel-1
2017-03-24 17:16:54,16395,232808,2017-03-24T17:16:54,96,2,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-03-25 17:08:03,16461,232808,2017-03-25T17:08:03,90,9,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-03-28 17:32:31,16512,232808,2017-03-28T17:32:31,0,96,3,0,1,high quality,Sentinel-1 Sentinel-2
2017-03-29 05:26:20,16589,232808,2017-03-29T05:26:20,88,9,0,0,3,low quality,Sentinel-1
2017-03-30 17:16:11,16666,232808,2017-03-30T17:16:11,94,3,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-03-31 17:08:46,16732,232808,2017-03-31T17:08:46,87,11,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-04-03 17:33:22,19275,232808,2017-04-03T17:33:22,81,18,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-04-04 05:27:04,19352,232808,2017-04-04T05:27:04,86,11,0,0,3,low quality,Sentinel-1
2017-04-05 17:16:56,19429,232808,2017-04-05T17:16:56,95,3,0,0,2,low quality,Sentinel-1
2017-04-06 17:08:03,19493,232808,2017-04-06T17:08:03,90,7,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-04-07 17:00:34,19546,232808,2017-04-07T17:00:34,0,0,0,98,2,high quality,Sentinel-1 Sentinel-2
2017-04-09 17:32:31,19623,232808,2017-04-09T17:32:31,73,24,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-04-10 17:25:13,19700,232808,2017-04-10T17:25:13,84,13,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-04-11 17:16:11,19777,232808,2017-04-11T17:16:11,92,5,0,0,3,low quality,Sentinel-1
2017-04-12 17:08:46,19841,232808,2017-04-12T17:08:46,81,17,0,0,2,low quality,Sentinel-1
2017-04-15 05:34:25,19895,232808,2017-04-15T05:34:25,77,19,0,0,4,low quality,Sentinel-1
2017-04-16 17:24:26,19972,232808,2017-04-16T17:24:26,83,16,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-04-17 17:16:56,20049,232808,2017-04-17T17:16:56,94,3,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-04-18 17:08:04,20113,232808,2017-04-18T17:08:04,83,14,0,0,3,low quality,Sentinel-1
2017-04-21 05:34:59,20166,232808,2017-04-21T05:34:59,70,27,0,0,3,low quality,Sentinel-1
2017-04-22 05:26:21,20243,232808,2017-04-22T05:26:21,83,14,0,0,3,low quality,Sentinel-1
2017-04-23 17:16:13,20320,232808,2017-04-23T17:16:13,96,4,0,0,0,low quality,Sentinel-1 Sentinel-2
2017-04-24 17:08:47,20384,232808,2017-04-24T17:08:47,78,20,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-04-27 17:33:23,20438,232808,2017-04-27T17:33:23,79,18,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-04-28 05:27:06,20515,232808,2017-04-28T05:27:06,83,14,0,0,3,low quality,Sentinel-1
2017-04-29 17:16:56,20592,232808,2017-04-29T17:16:56,95,4,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-04-30 17:08:04,20656,232808,2017-04-30T17:08:04,88,10,0,0,2,low quality,Sentinel-1 Sentinel-2
