dt64,id,river_km_id,datetime,water_perc,ice_perc,other_perc,cloud_perc,nd_perc,qc,source
2017-03-13 17:10:32,1867407,348865,2017-03-13T17:10:32,86,12,0,0,2,low quality,Sentinel-1
2017-03-14 17:03:29,1867408,348865,2017-03-14T17:03:29,94,4,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-03-17 10:54:23,1867409,348865,2017-03-17T10:54:23,0,0,0,98,2,high quality,Sentinel-1 Sentinel-2
2017-03-18 17:18:41,1867410,348865,2017-03-18T17:18:41,91,7,0,0,2,low quality,Sentinel-1
2017-03-19 05:56:22,1867411,348865,2017-03-19T05:56:22,90,7,0,0,3,low quality,Sentinel-1
2017-03-20 17:02:41,1867412,348865,2017-03-20T17:02:41,94,4,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-03-24 17:19:24,1867413,348865,2017-03-24T17:19:24,91,7,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-03-25 05:55:37,1867414,348865,2017-03-25T05:55:37,91,7,0,0,2,low quality,Sentinel-1
2017-03-25 17:10:32,1867415,348865,2017-03-25T17:10:32,85,13,0,0,2,low quality,Sentinel-1
2017-03-26 17:03:29,1867416,348865,2017-03-26T17:03:29,94,4,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-03-27 16:54:35,1867417,348865,2017-03-27T16:54:35,95,0,1,3,1,high quality,Sentinel-1 Sentinel-2
2017-03-30 17:18:41,1867418,348865,2017-03-30T17:18:41,91,7,0,0,2,low quality,Sentinel-1
2017-03-31 10:30:17,1867419,348865,2017-03-31T10:30:17,91,7,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-04-01 05:47:20,1867420,348865,2017-04-01T05:47:20,94,4,0,0,2,low quality,Sentinel-1
2017-04-05 17:19:26,1867421,348865,2017-04-05T17:19:26,91,8,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-04-06 17:10:32,1867422,348865,2017-04-06T17:10:32,91,7,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-04-07 05:48:00,1867423,348865,2017-04-07T05:48:00,94,4,0,0,2,low quality,Sentinel-1
2017-04-09 16:47:02,1867424,348865,2017-04-09T16:47:02,0,0,0,77,23,high quality,Sentinel-1 Sentinel-2
2017-04-11 17:18:41,1867425,348865,2017-04-11T17:18:41,91,7,0,0,2,low quality,Sentinel-1
2017-04-12 11:06:19,1867426,348865,2017-04-12T11:06:19,91,7,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-04-13 10:40:21,1867427,348865,2017-04-13T10:40:21,94,4,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-04-17 17:19:26,1867428,348865,2017-04-17T17:19:26,91,7,0,0,2,low quality,Sentinel-1
2017-04-18 17:10:34,1867429,348865,2017-04-18T17:10:34,92,6,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-04-19 05:48:19,1867430,348865,2017-04-19T05:48:19,94,4,0,0,2,low quality,Sentinel-1
2017-04-23 17:18:43,1867431,348865,2017-04-23T17:18:43,91,6,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-04-24 05:56:23,1867432,348865,2017-04-24T05:56:23,91,7,0,0,2,low quality,Sentinel-1
2017-04-25 17:02:44,1867433,348865,2017-04-25T17:02:44,95,4,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-04-26 16:55:09,1867434,348865,2017-04-26T16:55:09,71,0,0,27,2,high quality,Sentinel-1 Sentinel-2
2017-04-29 17:19:27,1867435,348865,2017-04-29T17:19:27,92,5,1,0,2,medium quality,Sentinel-1 Sentinel-2
2017-04-30 17:10:34,1867436,348865,2017-04-30T17:10:34,92,7,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-05-01 05:48:20,1867437,348865,2017-05-01T05:48:20,94,4,0,0,2,low quality,Sentinel-1
2017-05-05 17:18:44,1867438,348865,2017-05-05T17:18:44,91,7,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-05-06 10:50:29,1867439,348865,2017-05-06T10:50:29,92,4,2,0,2,medium quality,Sentinel-1 Sentinel-2
2017-05-07 05:47:22,1867440,348865,2017-05-07T05:47:22,94,4,0,0,2,low quality,Sentinel-1
2017-05-09 16:46:16,1867441,348865,2017-05-09T16:46:16,0,0,0,98,2,high quality,Sentinel-1 Sentinel-2
2017-05-11 17:19:27,1867442,348865,2017-05-11T17:19:27,91,7,0,0,2,low quality,Sentinel-1
2017-05-12 17:10:35,1867443,348865,2017-05-12T17:10:35,90,8,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-05-13 17:03:31,1867444,348865,2017-05-13T17:03:31,94,4,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-05-17 17:18:44,1867445,348865,2017-05-17T17:18:44,91,7,0,0,2,low quality,Sentinel-1
2017-05-18 05:56:25,1867446,348865,2017-05-18T05:56:25,90,8,0,0,2,low quality,Sentinel-1
2017-05-19 17:02:44,1867447,348865,2017-05-19T17:02:44,93,1,4,0,2,high quality,Sentinel-1 Sentinel-2
2017-05-23 17:19:22,1867448,348865,2017-05-23T17:19:22,74,5,0,0,21,low quality,Sentinel-1 Sentinel-2
2017-05-24 05:55:40,1867449,348865,2017-05-24T05:55:40,91,7,0,0,2,low quality,Sentinel-1
2017-05-24 17:10:35,1867450,348865,2017-05-24T17:10:35,85,13,0,0,2,low quality,Sentinel-1
2017-05-25 05:48:21,1867451,348865,2017-05-25T05:48:21,94,4,0,0,2,low quality,Sentinel-1
2017-05-26 16:54:37,1867452,348865,2017-05-26T16:54:37,98,0,1,0,1,high quality,Sentinel-1 Sentinel-2
2017-05-29 17:18:44,1867453,348865,2017-05-29T17:18:44,98,0,0,0,2,high quality,Sentinel-1 Sentinel-2
2017-05-30 05:56:28,1867454,348865,2017-05-30T05:56:28,91,7,0,0,2,low quality,Sentinel-1
2017-05-30 17:11:28,1867455,348865,2017-05-30T17:11:28,84,13,0,0,3,low quality,Sentinel-1
2017-05-31 05:47:29,1867456,348865,2017-05-31T05:47:29,93,4,0,0,3,low quality,Sentinel-1
2017-06-04 17:19:23,1867457,348865,2017-06-04T17:19:23,74,5,0,0,21,low quality,Sentinel-1
2017-06-05 17:10:35,1867458,348865,2017-06-05T17:10:35,91,7,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-06-06 17:03:27,1867459,348865,2017-06-06T17:03:27,94,5,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-06-10 17:18:46,1867460,348865,2017-06-10T17:18:46,91,7,0,0,2,low quality,Sentinel-1
2017-06-11 17:11:30,1867461,348865,2017-06-11T17:11:30,86,13,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-06-12 17:02:44,1867462,348865,2017-06-12T17:02:44,94,4,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-06-15 17:26:42,1867463,348865,2017-06-15T17:26:42,6,0,0,92,2,high quality,Sentinel-1 Sentinel-2
2017-06-16 17:19:24,1867464,348865,2017-06-16T17:19:24,73,6,0,0,21,low quality,Sentinel-1
2017-06-17 05:55:32,1867465,348865,2017-06-17T05:55:32,91,7,0,0,2,low quality,Sentinel-1
2017-06-17 17:10:37,1867466,348865,2017-06-17T17:10:37,86,12,0,0,2,low quality,Sentinel-1
2017-06-18 17:03:27,1867467,348865,2017-06-18T17:03:27,93,4,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-06-22 17:18:46,1867468,348865,2017-06-22T17:18:46,91,7,0,0,2,low quality,Sentinel-1
2017-06-23 05:56:28,1867469,348865,2017-06-23T05:56:28,90,8,0,0,2,low quality,Sentinel-1
2017-06-23 17:11:31,1867470,348865,2017-06-23T17:11:31,84,13,0,0,3,low quality,Sentinel-1
2017-06-24 17:02:44,1867471,348865,2017-06-24T17:02:44,94,4,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-06-28 17:19:24,1867472,348865,2017-06-28T17:19:24,86,0,1,10,3,high quality,Sentinel-1 Sentinel-2
2017-06-29 17:10:37,1867473,348865,2017-06-29T17:10:37,91,8,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-06-30 17:03:27,1867474,348865,2017-06-30T17:03:27,94,4,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-07-04 17:18:47,1867475,348865,2017-07-04T17:18:47,91,7,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-07-05 17:11:31,1867476,348865,2017-07-05T17:11:31,97,0,1,0,2,high quality,Sentinel-1 Sentinel-2
2017-07-06 17:02:44,1867477,348865,2017-07-06T17:02:44,94,4,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-07-10 17:19:24,1867478,348865,2017-07-10T17:19:24,73,6,0,0,21,low quality,Sentinel-1 Sentinel-2
2017-07-11 17:10:37,1867479,348865,2017-07-11T17:10:37,91,7,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-07-12 17:03:29,1867480,348865,2017-07-12T17:03:29,94,4,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-07-13 16:54:37,1867481,348865,2017-07-13T16:54:37,0,0,0,77,23,high quality,Sentinel-1 Sentinel-2
2017-07-15 17:27:23,1867482,348865,2017-07-15T17:27:23,0,0,0,98,2,high quality,Sentinel-1 Sentinel-2
2017-07-16 17:18:47,1867483,348865,2017-07-16T17:18:47,91,7,0,0,2,low quality,Sentinel-1 Sentinel-2
